"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271867274458,0.0600206116828658,-40.3647781123197,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195507946725,0.0724183936577182,44.2146658844869,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373715139127,0.0575752975845243,-40.1862821116044,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.0596308253225,0.0538695794326743,-38.2336533348401,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801905872991,0.0431848715870534,-43.7194552014351,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979172297661,0.0439495991270944,-37.5382655529054,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450810607022,0.0690756107415748,48.4180750653465,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228763587961,0.0617147925080594,38.7636017016049,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225761336311,0.0389288783719091,47.0667969382148,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404625594684,0.0419492820069163,-43.9589467977738,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26607990867296,0.0552779399492478,40.9942901409407,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252564418674,0.055248977772222,40.9514480704888,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605851018679,0.075783097106816,-42.1737647602599,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976314386614,0.0543373627571229,38.2750107538759,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841715977851,0.0505943894572752,-38.312887665448,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736108084224,0.0463248630099704,43.9798619675086,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.9505493193082,0.0436162360600057,44.720716309053,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372182594426,0.0653970371036225,38.5907670701562,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825374257119,0.0865093533582917,44.5992669323471,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668726414087,0.0581459677607463,-41.3904412777801,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418951782789,0.0696188982590221,-42.0028123247259,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234540156222,0.0404691658379759,-52.9377207857312,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453033254278,0.0670980055769193,37.7735569150004,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.3389309031688,0.0358910287740612,-37.3054478766143,1.33910254522729e-304,8.00169566712691e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815957249357,0.04478645515507,37.2469660016112,1.18644763120154e-303,6.80593819162452e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533030487141,0.0488897584437499,36.9265539928681,1.73274788940314e-298,9.55743749305018e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763730494384,0.0550732884872403,36.8170734059873,9.84374379518524e-297,5.22848628765747e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493813520505,0.0693509339084541,36.6965229129354,8.29780403332442e-295,4.24995741578234e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808638120855,0.0589112502523226,-36.4630927370933,4.26675429286865e-291,2.10998356255274e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413600145502,0.121616472130281,36.4599952932771,4.77730140346252e-291,2.2837093142352e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.2066708510795,0.0608260451079083,-36.27838777229,3.54672696001979e-288,1.64076165592399e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723486814282,0.0693888187085489,36.2772405553676,3.69756794974231e-288,1.6570881864767e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023378876621,0.0499835247294492,-36.2166093440717,3.33494222655439e-287,1.44928504457626e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000101825",1024.97040543336,3.28766552411695,0.0909528179474202,36.1469341831447,4.15687587589564e-286,1.72669986672879e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000117724",1324.17284690485,-2.82511056884258,0.078157115550565,-36.146556189306,4.21410608294453e-286,1.72669986672879e-283,"CENPF","1063","centromere protein F"
"ENSG00000033867",3157.52042924196,1.93501319688412,0.0535456525300337,36.1376340646661,5.81911537252662e-286,2.31810926548345e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000198959",5110.85796803933,-1.74624482391291,0.0488127834949249,-35.7743340757134,2.76913457755007e-280,1.07330159396339e-277,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778261113787,0.0656066296204678,35.328481657207,2.14607765664162e-273,8.09918412470985e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515267257481,0.0654012510656201,-35.2463085188071,3.90812490793086e-272,1.43708767447786e-269,"FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747527328513,0.0743565993852554,-35.2016538535269,1.88636819796367e-271,6.76310158174924e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743510996647,0.0806528949760215,35.1808216036145,3.92889050449423e-271,1.37424923719394e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907564623434,0.126297655431364,35.1477280482594,1.25913181921393e-270,4.29933557603499e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204120456707,0.0860951120757966,-34.9850430755619,3.79869686746229e-268,1.26690957619248e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401905941972,0.0690594759333706,-34.9556527441475,1.06258239494781e-267,3.46329411953329e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.3578614179085,0.0676735503253437,34.8416982199541,5.68731918845375e-266,1.81248543292478e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283798114887,0.0497678722016153,34.8184060216388,1.28093466905043e-265,3.99345306279397e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01486820626117,0.0588607283625965,34.2311123615238,8.33167275680494e-257,2.54222380862425e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652041974151,0.09284256551297,-34.2140525974344,1.49452134424293e-256,4.46519387453913e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.9297170585314,0.0569334317119781,-33.8942691579473,8.09135887234608e-252,2.36812607323092e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989002501208,0.0418396696100116,33.6974464223474,6.30062178022085e-249,1.80714433900294e-246,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.059109093235,0.0611292262946166,33.6845273210392,9.74046036911205e-249,2.73897925791051e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.5467501347755,0.046035835727106,33.5988281812547,1.74494662851933e-247,4.81236146146071e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361775137406,0.0564668230561872,-33.5350502982931,1.48715345917038e-246,4.02401278452121e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354611871753,0.050974285258499,-33.419715648362,7.09095515033273e-245,1.8831738483504e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401504220541,0.0439506982949088,-33.3103932133656,2.73045853098128e-243,7.11954650778228e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988651551368,0.0760008426575643,-33.2876113875809,5.83435987475795e-243,1.49411705292685e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056626443415,0.0547126253992914,33.0922936199951,3.83615641765011e-240,9.65163494482811e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415460165458,0.052274673530581,32.982599128925,1.44287964059655e-238,3.56764429755088e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095171425852,0.0568160239963355,-32.9300007754713,8.17990926643802e-238,1.9882725218642e-235,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614692074624,0.0515215156629034,32.7270442076746,6.44214109882711e-235,1.53977909163799e-232,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.05720924301739,0.0629963984020175,32.6559818529484,6.5901850786277e-234,1.54934170840328e-231,"HMCN1","83872","hemicentin 1"
